Org Name,Sector,Record Type,PIC Name,Role/Title,Org Email,Org Phone,Source URL,Date Collected
Kopernik,Environmental NGO,Team Member,FORGOT YOUR PASSWORD?,By proceeding you agree to Kopernik's Privacy Policy,,,https://kopernik.info/en/about/our-team,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Org Contact,,,admin@humanrightscareers.com,,https://www.humanrightscareers.com/contact/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,BY TYPE,(role not found — check source),,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,BY TOPIC,(role not found — check source),,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,BY LOCATION,(role not found — check source),,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Human Rights Courses,Human Rights Careers Academy,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Becoming a Human Rights Educator,Human Rights Careers Academy,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,International Human Rights Law,Université catholique de Louvain,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,International Women’s Health and Human Rights,(role not found — check source),,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Asylum and Refugee Law,Université catholique de Louvain,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Climate Adaptation and Human Rights,(role not found — check source),,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Indigenous Peoples’ Rights,(role not found — check source),,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,International Organizations Management,University of Geneva,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Human Rights for Open Societies,(role not found — check source),,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,International Humanitarian Law,Université catholique de Louvain,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Gender and Intersectionality,University of Iceland,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,"Social Norms, Social Change I",United Nations Children’s Fund (UNICEF),,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Children’s Human Rights,University of Geneva,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Women in Leadership: Inspiring Positive Change,Case Western Reserve University,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Business Strategies for A Better World,University of Pennsylvania,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Operational Research for Humanitarians,University of Geneva,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Transitioning to Peace,King’s College London,,,https://www.humanrightscareers.com/courses/,2026-09-02
25 International Human Rights Organizations,Human Rights NGO,Team Member,Housing Justice,Indian Institute for Human Settlements,,,https://www.humanrightscareers.com/courses/,2026-09-02
Human Rights Organizations,Human Rights NGO,Org Contact,,,opics@law.georgetown.edu,,https://www.law.georgetown.edu/human-rights-institute/careers/human-rights-organizations/,2026-09-02
Human Rights Organizations,Human Rights NGO,Team Member,Georgetown Law,(role not found — check source),,,https://www.law.georgetown.edu/human-rights-institute/about-us-2/,2026-09-02
Human Rights Organizations,Human Rights NGO,Team Member,Social Navigation,(role not found — check source),,,https://www.law.georgetown.edu/human-rights-institute/about-us-2/,2026-09-02
Human Rights Organizations,Human Rights NGO,Team Member,Resources For,(role not found — check source),,,https://www.law.georgetown.edu/human-rights-institute/about-us-2/,2026-09-02
Human Rights Organizations,Human Rights NGO,Team Member,Helpful Links,(role not found — check source),,,https://www.law.georgetown.edu/human-rights-institute/about-us-2/,2026-09-02
Human Rights Organizations,Human Rights NGO,Org Contact,,,donations@advrights.org; events@advrights.org; hrights@advrights.org; press@advrights.org,612-341-2971; 612-341-3302; 612-341-9845,https://www.theadvocatesforhumanrights.org/human_rights_organizations,2026-09-02
Human Rights Organizations,Human Rights NGO,Team Member,Who We Are,(role not found — check source),,,https://www.theadvocatesforhumanrights.org/About,2026-09-02
Non,Human Rights NGO,Team Member,International Travel Information,(role not found — check source),,,https://www.state.gov/countries-areas/timor-leste/,2026-09-02
Non,Human Rights NGO,Team Member,Current Travel Advisories,(role not found — check source),,,https://www.state.gov/countries-areas/timor-leste/,2026-09-02
